data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-03-29T08:00:00;Padova;Azienda Ospedale Università di Padova;113;32;113;19
2020-03-29T08:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;0
2020-03-29T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;80;24;89;49
2020-03-29T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;39;34;11;15
2020-03-29T08:00:00;Belluno;Ospedale Belluno;51;10;11;8
2020-03-29T08:00:00;Belluno;Ospedale di Comunità Belluno;4;0;0;1
2020-03-29T08:00:00;Belluno;Ospedale Feltre;11;0;5;4
2020-03-29T08:00:00;Belluno;Ospedale Agordo;12;0;1;0
2020-03-29T08:00:00;Treviso;Ospedale Treviso;113;25;129;57
2020-03-29T08:00:00;Treviso;Ospedale Oderzo;19;4;5;5
2020-03-29T08:00:00;Treviso;Ospedale Conegliano;18;9;13;10
2020-03-29T08:00:00;Treviso;Ospedale Vittorio Veneto °;104;6;28;7
2020-03-29T08:00:00;Treviso;Ospedale Castelfranco;23;0;9;6
2020-03-29T08:00:00;Treviso;Ospedale Montebelluna;29;7;12;6
2020-03-29T08:00:00;Treviso;Ospedale S. Camillo-Treviso °;40;0;0;0
2020-03-29T08:00:00;Venezia;Ospedale Mestre;52;16;21;18
2020-03-29T08:00:00;Venezia;Ospedale Venezia;12;7;11;5
2020-03-29T08:00:00;Venezia;Ospedale Mirano;0;11;8;5
2020-03-29T08:00:00;Venezia;Ospedale Dolo °;83;15;16;13
2020-03-29T08:00:00;Venezia;Ospedale Chioggia;0;0;0;2
2020-03-29T08:00:00;Venezia;Ospedale Villa Salus-Mestre °;23;0;10;2
2020-03-29T08:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0
2020-03-29T08:00:00;Venezia;Ospedale Jesolo °;55;14;14;11
2020-03-29T08:00:00;Rovigo;Ospedale Rovigo;24;0;11;2
2020-03-29T08:00:00;Rovigo;Ospedale Trecenta °;5;9;0;0
2020-03-29T08:00:00;Rovigo;Ospedale Adria;0;0;0;0
2020-03-29T08:00:00;Padova;Ospedale Schiavonia °;117;25;67;31
2020-03-29T08:00:00;Padova;Ospedale Piove di Sacco;0;0;1;0
2020-03-29T08:00:00;Padova;Ospedale Cittadella;0;6;5;2
2020-03-29T08:00:00;Padova;Ospedale Camposampiero;10;0;5;1
2020-03-29T08:00:00;Padova;Casa di Cura Villa Maria - Padova;3;0;0;0
2020-03-29T08:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;1;0;0;0
2020-03-29T08:00:00;Vicenza;Ospedale Santorso °;56;14;19;11
2020-03-29T08:00:00;Vicenza;Ospedale Bassano;32;7;7;8
2020-03-29T08:00:00;Vicenza;Ospedale Asiago;22;0;0;9
2020-03-29T08:00:00;Vicenza;Ospedale Vicenza;71;27;35;29
2020-03-29T08:00:00;Vicenza;Ospedale Noventa Vicentina;21;0;5;0
2020-03-29T08:00:00;Vicenza;Ospedale Arzignano;0;0;0;0
2020-03-29T08:00:00;Vicenza;Ospedale Valdagno;13;0;0;1
2020-03-29T08:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-03-29T08:00:00;Verona;Ospedale Legnago;64;8;2;20
2020-03-29T08:00:00;Verona;Ospedale San Bonifacio;17;4;2;3
2020-03-29T08:00:00;Verona;Ospedale Villafranca °;116;20;16;10
2020-03-29T08:00:00;Verona;Ospedale Marzana;19;0;1;0
2020-03-29T08:00:00;Padova;IRCCS - IOV;0;0;0;0
2020-03-29T08:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;72;10;23;15
2020-03-29T08:00:00;Verona;Ospedale P. Pederzoli-Peschiera;42;11;10;7
