data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-03-18T17:00:00;Padova;Azienda Ospedale Università di Padova;79;27;43;7
2020-03-18T17:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;0
2020-03-18T17:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;49;14;28;11
2020-03-18T17:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;7;19;0;1
2020-03-18T17:00:00;Belluno;Ospedale Belluno;27;4;3;3
2020-03-18T17:00:00;Belluno;Ospedale di Comunità Belluno;0;0;0;0
2020-03-18T17:00:00;Belluno;Ospedale Feltre;10;0;0;2
2020-03-18T17:00:00;Belluno;Ospedale Agordo;0;0;0;0
2020-03-18T17:00:00;Treviso;Ospedale Treviso;93;15;54;34
2020-03-18T17:00:00;Treviso;Ospedale Oderzo;1;0;0;1
2020-03-18T17:00:00;Treviso;Ospedale Conegliano;23;11;0;6
2020-03-18T17:00:00;Treviso;Ospedale Vittorio Veneto °;13;0;0;1
2020-03-18T17:00:00;Treviso;Ospedale Castelfranco;5;0;0;1
2020-03-18T17:00:00;Treviso;Ospedale Montebelluna;1;3;0;2
2020-03-18T17:00:00;Treviso;Ospedale S. Camillo-Treviso °;0;0;0;0
2020-03-18T17:00:00;Venezia;Ospedale Mestre;42;10;9;8
2020-03-18T17:00:00;Venezia;Ospedale Venezia;11;5;5;3
2020-03-18T17:00:00;Venezia;Ospedale Mirano;5;14;7;2
2020-03-18T17:00:00;Venezia;Ospedale Dolo °;39;6;2;1
2020-03-18T17:00:00;Venezia;Ospedale Chioggia;1;0;0;1
2020-03-18T17:00:00;Venezia;Ospedale Villa Salus-Mestre °;0;0;0;0
2020-03-18T17:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0
2020-03-18T17:00:00;Venezia;Ospedale Jesolo °;16;12;0;2
2020-03-18T17:00:00;Rovigo;Ospedale Rovigo;8;0;7;1
2020-03-18T17:00:00;Rovigo;Ospedale Trecenta °;0;2;0;0
2020-03-18T17:00:00;Rovigo;Ospedale Adria;1;0;0;0
2020-03-18T17:00:00;Padova;Ospedale Schiavonia °;80;13;2;6
2020-03-18T17:00:00;Padova;Ospedale Piove di Sacco;6;3;0;1
2020-03-18T17:00:00;Padova;Ospedale Cittadella;11;0;2;2
2020-03-18T17:00:00;Padova;Ospedale Camposampiero;0;0;0;0
2020-03-18T17:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0
2020-03-18T17:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0
2020-03-18T17:00:00;Vicenza;Ospedale Santorso °;21;0;4;1
2020-03-18T17:00:00;Vicenza;Ospedale Bassano;14;3;0;2
2020-03-18T17:00:00;Vicenza;Ospedale Asiago;11;0;0;5
2020-03-18T17:00:00;Vicenza;Ospedale Vicenza;28;22;12;3
2020-03-18T17:00:00;Vicenza;Ospedale Noventa Vicentina;4;0;0;0
2020-03-18T17:00:00;Vicenza;Ospedale Arzignano;0;0;0;0
2020-03-18T17:00:00;Vicenza;Ospedale Valdagno;0;0;0;0
2020-03-18T17:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-03-18T17:00:00;Verona;Ospedale Legnago;18;8;0;2
2020-03-18T17:00:00;Verona;Ospedale San Bonifacio;1;1;0;0
2020-03-18T17:00:00;Verona;Ospedale Villafranca °;7;0;2;0
2020-03-18T17:00:00;Verona;Ospedale Marzana;0;0;0;0
2020-03-18T17:00:00;Padova;IRCCS - IOV;0;0;0;0
2020-03-18T17:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;42;7;7;4
2020-03-18T17:00:00;Verona;Ospedale P. Pederzoli-Peschiera;17;2;2;0
