data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;negativizzati_ricoverati;dimessi_guariti;deceduti
2020-03-10T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;20;3;0;3;2
2020-03-10T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;0;1;0;0;0
2020-03-10T08:00:00;Belluno;Ospedale Belluno;8;0;0;0;0
2020-03-10T08:00:00;Belluno;Ospedale di Comunita' Belluno;0;0;0;0;0
2020-03-10T08:00:00;Belluno;Ospedale Feltre;1;0;0;0;0
2020-03-10T08:00:00;Belluno;Ospedale Agordo;0;0;0;0;0
2020-03-10T08:00:00;Treviso;Ospedale Treviso;62;6;0;5;13
2020-03-10T08:00:00;Treviso;Ospedale Oderzo;0;0;0;0;0
2020-03-10T08:00:00;Treviso;Ospedale Conegliano;1;8;0;0;0
2020-03-10T08:00:00;Treviso;Ospedale Vittorio Veneto *;1;0;0;0;0
2020-03-10T08:00:00;Treviso;Ospedale Castelfranco;4;0;0;0;1
2020-03-10T08:00:00;Treviso;Ospedale Montebelluna;0;0;0;0;0
2020-03-10T08:00:00;Treviso;Ospedale S. Camillo-Treviso *;0;0;0;0;0
2020-03-10T08:00:00;Venezia;Ospedale Mestre;20;11;0;1;4
2020-03-10T08:00:00;Venezia;Ospedale Venezia;8;3;0;2;1
2020-03-10T08:00:00;Venezia;Ospedale Mirano;2;5;0;0;0
2020-03-10T08:00:00;Venezia;Ospedale Dolo *;2;0;0;0;0
2020-03-10T08:00:00;Venezia;Ospedale Chioggia;1;0;0;0;1
2020-03-10T08:00:00;Venezia;Ospedale Villa Salus-Mestre *;0;0;0;0;0
2020-03-10T08:00:00;Venezia;Casa di cura Policlinico San Marco Mestre;0;0;0;0;0
2020-03-10T08:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0;0
2020-03-10T08:00:00;Venezia;Ospedale Jesolo *;0;0;0;0;0
2020-03-10T08:00:00;Venezia;Ospedale Portogruaro;0;0;0;0;0
2020-03-10T08:00:00;Venezia;Casa di Cura Rizzola;0;0;0;0;0
2020-03-10T08:00:00;Venezia;Casa di Cura Rizzola OdC;0;0;0;0;0
2020-03-10T08:00:00;Rovigo;Ospedale Rovigo;4;1;0;2;0
