data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-03-14T17:00:00;Padova;Azienda Ospedale Università di Padova;45;21;38;6
2020-03-14T17:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;0
2020-03-14T17:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;31;10;8;4
2020-03-14T17:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;1;2;0;0
2020-03-14T17:00:00;Belluno;Ospedale Belluno;15;1;1;1
2020-03-14T17:00:00;Belluno;Ospedale di Comunità Belluno;0;0;0;0
2020-03-14T17:00:00;Belluno;Ospedale Feltre;6;0;0;0
2020-03-14T17:00:00;Belluno;Ospedale Agordo;0;0;0;0
2020-03-14T17:00:00;Treviso;Ospedale Treviso;56;14;43;27
2020-03-14T17:00:00;Treviso;Ospedale Oderzo;0;0;0;0
2020-03-14T17:00:00;Treviso;Ospedale Conegliano;5;10;0;1
2020-03-14T17:00:00;Treviso;Ospedale Vittorio Veneto °;2;0;0;1
2020-03-14T17:00:00;Treviso;Ospedale Castelfranco;7;0;0;1
2020-03-14T17:00:00;Treviso;Ospedale Montebelluna;0;0;0;1
2020-03-14T17:00:00;Treviso;Ospedale S. Camillo-Treviso °;0;0;0;0
2020-03-14T17:00:00;Venezia;Ospedale Mestre;32;12;3;7
2020-03-14T17:00:00;Venezia;Ospedale Venezia;9;4;4;1
2020-03-14T17:00:00;Venezia;Ospedale Mirano;12;11;1;0
2020-03-14T17:00:00;Venezia;Ospedale Dolo °;17;0;0;0
2020-03-14T17:00:00;Venezia;Ospedale Chioggia;1;0;0;1
2020-03-14T17:00:00;Venezia;Ospedale Villa Salus-Mestre °;0;0;0;0
2020-03-14T17:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0
2020-03-14T17:00:00;Venezia;Ospedale Jesolo °;8;7;0;0
2020-03-14T17:00:00;Rovigo;Ospedale Rovigo;4;0;5;0
2020-03-14T17:00:00;Rovigo;Ospedale Trecenta °;0;2;0;0
2020-03-14T17:00:00;Rovigo;Ospedale Adria;1;0;0;0
2020-03-14T17:00:00;Padova;Ospedale Schiavonia °;48;7;1;1
2020-03-14T17:00:00;Padova;Ospedale Piove di Sacco;4;1;0;1
2020-03-14T17:00:00;Padova;Ospedale Cittadella;8;0;0;2
2020-03-14T17:00:00;Padova;Ospedale Camposampiero;0;0;0;0
2020-03-14T17:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0
2020-03-14T17:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0
2020-03-14T17:00:00;Vicenza;Ospedale Santorso °;11;0;4;0
2020-03-14T17:00:00;Vicenza;Ospedale Bassano;9;1;0;1
2020-03-14T17:00:00;Vicenza;Ospedale Asiago;16;0;1;0
2020-03-14T17:00:00;Vicenza;Ospedale Vicenza;11;15;9;1
2020-03-14T17:00:00;Vicenza;Ospedale Noventa Vicentina;0;0;0;0
2020-03-14T17:00:00;Vicenza;Ospedale Arzignano;0;0;0;0
2020-03-14T17:00:00;Vicenza;Ospedale Valdagno;0;0;0;0
2020-03-14T17:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-03-14T17:00:00;Verona;Ospedale Legnago;8;4;0;1
2020-03-14T17:00:00;Verona;Ospedale San Bonifacio;2;0;0;0
2020-03-14T17:00:00;Verona;Ospedale Villafranca °;6;0;0;0
2020-03-14T17:00:00;Verona;Ospedale Marzana;0;0;0;0
2020-03-14T17:00:00;Padova;IRCCS - IOV;0;0;0;0
2020-03-14T17:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;33;3;0;2
2020-03-14T17:00:00;Verona;Ospedale P. Pederzoli-Peschiera;8;0;0;0
