data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-03-23T08:00:00;Padova;Azienda Ospedale Università di Padova;88;34;66;10
2020-03-23T08:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;0
2020-03-23T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;81;18;50;25
2020-03-23T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;49;34;1;3
2020-03-23T08:00:00;Belluno;Ospedale Belluno;39;4;5;4
2020-03-23T08:00:00;Belluno;Ospedale di Comunità Belluno;0;0;0;0
2020-03-23T08:00:00;Belluno;Ospedale Feltre;9;0;2;3
2020-03-23T08:00:00;Belluno;Ospedale Agordo;6;0;1;0
2020-03-23T08:00:00;Treviso;Ospedale Treviso;131;20;84;44
2020-03-23T08:00:00;Treviso;Ospedale Oderzo;11;0;0;3
2020-03-23T08:00:00;Treviso;Ospedale Conegliano;58;11;5;7
2020-03-23T08:00:00;Treviso;Ospedale Vittorio Veneto °;54;0;0;2
2020-03-23T08:00:00;Treviso;Ospedale Castelfranco;28;0;0;6
2020-03-23T08:00:00;Treviso;Ospedale Montebelluna;21;6;0;2
2020-03-23T08:00:00;Treviso;Ospedale S. Camillo-Treviso °;0;0;0;0
2020-03-23T08:00:00;Venezia;Ospedale Mestre;55;14;11;11
2020-03-23T08:00:00;Venezia;Ospedale Venezia;16;7;8;5
2020-03-23T08:00:00;Venezia;Ospedale Mirano;0;14;8;3
2020-03-23T08:00:00;Venezia;Ospedale Dolo °;60;12;4;2
2020-03-23T08:00:00;Venezia;Ospedale Chioggia;1;0;0;1
2020-03-23T08:00:00;Venezia;Ospedale Villa Salus-Mestre °;13;0;0;0
2020-03-23T08:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0
2020-03-23T08:00:00;Venezia;Ospedale Jesolo °;38;14;1;5
2020-03-23T08:00:00;Rovigo;Ospedale Rovigo;17;0;7;2
2020-03-23T08:00:00;Rovigo;Ospedale Trecenta °;0;4;0;0
2020-03-23T08:00:00;Rovigo;Ospedale Adria;0;0;0;0
2020-03-23T08:00:00;Padova;Ospedale Schiavonia °;112;22;22;14
2020-03-23T08:00:00;Padova;Ospedale Piove di Sacco;0;0;0;1
2020-03-23T08:00:00;Padova;Ospedale Cittadella;5;1;5;2
2020-03-23T08:00:00;Padova;Ospedale Camposampiero;0;0;0;0
2020-03-23T08:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0
2020-03-23T08:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0
2020-03-23T08:00:00;Vicenza;Ospedale Santorso °;21;5;5;1
2020-03-23T08:00:00;Vicenza;Ospedale Bassano;23;6;0;6
2020-03-23T08:00:00;Vicenza;Ospedale Asiago;23;0;0;5
2020-03-23T08:00:00;Vicenza;Ospedale Vicenza;58;20;19;12
2020-03-23T08:00:00;Vicenza;Ospedale Noventa Vicentina;17;0;1;0
2020-03-23T08:00:00;Vicenza;Ospedale Arzignano;0;0;0;0
2020-03-23T08:00:00;Vicenza;Ospedale Valdagno;0;0;0;0
2020-03-23T08:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-03-23T08:00:00;Verona;Ospedale Legnago;39;8;1;5
2020-03-23T08:00:00;Verona;Ospedale San Bonifacio;6;1;0;0
2020-03-23T08:00:00;Verona;Ospedale Villafranca °;62;12;2;1
2020-03-23T08:00:00;Verona;Ospedale Marzana;0;0;0;0
2020-03-23T08:00:00;Padova;IRCCS - IOV;0;0;0;0
2020-03-23T08:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;46;8;15;6
2020-03-23T08:00:00;Verona;Ospedale P. Pederzoli-Peschiera;19;6;4;1
