data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-03-20T17:00:00;Padova;Azienda Ospedale Università di Padova;82;31;60;7
2020-03-20T17:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;0
2020-03-20T17:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;64;18;34;15
2020-03-20T17:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;15;26;0;1
2020-03-20T17:00:00;Belluno;Ospedale Belluno;35;5;5;3
2020-03-20T17:00:00;Belluno;Ospedale di Comunità Belluno;0;0;0;0
2020-03-20T17:00:00;Belluno;Ospedale Feltre;9;0;2;2
2020-03-20T17:00:00;Belluno;Ospedale Agordo;6;0;1;0
2020-03-20T17:00:00;Treviso;Ospedale Treviso;111;18;66;38
2020-03-20T17:00:00;Treviso;Ospedale Oderzo;6;0;0;3
2020-03-20T17:00:00;Treviso;Ospedale Conegliano;44;11;0;6
2020-03-20T17:00:00;Treviso;Ospedale Vittorio Veneto °;27;0;0;1
2020-03-20T17:00:00;Treviso;Ospedale Castelfranco;14;0;0;2
2020-03-20T17:00:00;Treviso;Ospedale Montebelluna;11;5;0;2
2020-03-20T17:00:00;Treviso;Ospedale S. Camillo-Treviso °;0;0;0;0
2020-03-20T17:00:00;Venezia;Ospedale Mestre;40;12;6;10
2020-03-20T17:00:00;Venezia;Ospedale Venezia;12;6;7;5
2020-03-20T17:00:00;Venezia;Ospedale Mirano;0;14;8;3
2020-03-20T17:00:00;Venezia;Ospedale Dolo °;47;7;2;1
2020-03-20T17:00:00;Venezia;Ospedale Chioggia;0;0;0;1
2020-03-20T17:00:00;Venezia;Ospedale Villa Salus-Mestre °;10;0;0;0
2020-03-20T17:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0
2020-03-20T17:00:00;Venezia;Ospedale Jesolo °;31;13;1;3
2020-03-20T17:00:00;Rovigo;Ospedale Rovigo;15;0;7;1
2020-03-20T17:00:00;Rovigo;Ospedale Trecenta °;0;3;0;0
2020-03-20T17:00:00;Rovigo;Ospedale Adria;0;0;0;0
2020-03-20T17:00:00;Padova;Ospedale Schiavonia °;108;19;4;10
2020-03-20T17:00:00;Padova;Ospedale Piove di Sacco;0;2;0;1
2020-03-20T17:00:00;Padova;Ospedale Cittadella;8;0;2;2
2020-03-20T17:00:00;Padova;Ospedale Camposampiero;0;0;0;0
2020-03-20T17:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0
2020-03-20T17:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0
2020-03-20T17:00:00;Vicenza;Ospedale Santorso °;24;2;5;1
2020-03-20T17:00:00;Vicenza;Ospedale Bassano;15;6;0;4
2020-03-20T17:00:00;Vicenza;Ospedale Asiago;23;0;0;5
2020-03-20T17:00:00;Vicenza;Ospedale Vicenza;39;22;13;4
2020-03-20T17:00:00;Vicenza;Ospedale Noventa Vicentina;12;0;1;0
2020-03-20T17:00:00;Vicenza;Ospedale Arzignano;0;0;0;0
2020-03-20T17:00:00;Vicenza;Ospedale Valdagno;0;0;0;0
2020-03-20T17:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-03-20T17:00:00;Verona;Ospedale Legnago;28;8;0;3
2020-03-20T17:00:00;Verona;Ospedale San Bonifacio;6;0;0;0
2020-03-20T17:00:00;Verona;Ospedale Villafranca °;12;8;2;1
2020-03-20T17:00:00;Verona;Ospedale Marzana;0;0;0;0
2020-03-20T17:00:00;Padova;IRCCS - IOV;0;0;0;0
2020-03-20T17:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;41;8;11;5
2020-03-20T17:00:00;Verona;Ospedale P. Pederzoli-Peschiera;24;2;2;0
