data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-03-25T08:00:00;Padova;Azienda Ospedale Università di Padova;104;31;83;13
2020-03-25T08:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;0
2020-03-25T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;74;23;58;34
2020-03-25T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;44;35;7;8
2020-03-25T08:00:00;Belluno;Ospedale Belluno;47;9;7;4
2020-03-25T08:00:00;Belluno;Ospedale di Comunità Belluno;0;0;0;0
2020-03-25T08:00:00;Belluno;Ospedale Feltre;8;0;3;3
2020-03-25T08:00:00;Belluno;Ospedale Agordo;11;0;1;0
2020-03-25T08:00:00;Treviso;Ospedale Treviso;134;21;95;49
2020-03-25T08:00:00;Treviso;Ospedale Oderzo;19;0;2;3
2020-03-25T08:00:00;Treviso;Ospedale Conegliano;40;10;12;9
2020-03-25T08:00:00;Treviso;Ospedale Vittorio Veneto °;91;3;8;3
2020-03-25T08:00:00;Treviso;Ospedale Castelfranco;29;0;0;6
2020-03-25T08:00:00;Treviso;Ospedale Montebelluna;27;8;1;4
2020-03-25T08:00:00;Treviso;Ospedale S. Camillo-Treviso °;6;0;0;0
2020-03-25T08:00:00;Venezia;Ospedale Mestre;55;14;16;13
2020-03-25T08:00:00;Venezia;Ospedale Venezia;15;7;8;5
2020-03-25T08:00:00;Venezia;Ospedale Mirano;0;14;8;3
2020-03-25T08:00:00;Venezia;Ospedale Dolo °;72;13;11;7
2020-03-25T08:00:00;Venezia;Ospedale Chioggia;0;1;0;2
2020-03-25T08:00:00;Venezia;Ospedale Villa Salus-Mestre °;22;0;1;0
2020-03-25T08:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0
2020-03-25T08:00:00;Venezia;Ospedale Jesolo °;45;12;4;9
2020-03-25T08:00:00;Rovigo;Ospedale Rovigo;19;0;7;2
2020-03-25T08:00:00;Rovigo;Ospedale Trecenta °;0;7;0;0
2020-03-25T08:00:00;Rovigo;Ospedale Adria;0;0;0;0
2020-03-25T08:00:00;Padova;Ospedale Schiavonia °;108;24;38;19
2020-03-25T08:00:00;Padova;Ospedale Piove di Sacco;0;0;0;1
2020-03-25T08:00:00;Padova;Ospedale Cittadella;0;4;9;2
2020-03-25T08:00:00;Padova;Ospedale Camposampiero;1;0;0;1
2020-03-25T08:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0
2020-03-25T08:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0
2020-03-25T08:00:00;Vicenza;Ospedale Santorso °;36;10;5;4
2020-03-25T08:00:00;Vicenza;Ospedale Bassano;38;6;0;7
2020-03-25T08:00:00;Vicenza;Ospedale Asiago;20;0;0;8
2020-03-25T08:00:00;Vicenza;Ospedale Vicenza;66;25;21;16
2020-03-25T08:00:00;Vicenza;Ospedale Noventa Vicentina;19;0;1;0
2020-03-25T08:00:00;Vicenza;Ospedale Arzignano;0;0;0;0
2020-03-25T08:00:00;Vicenza;Ospedale Valdagno;6;0;0;1
2020-03-25T08:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-03-25T08:00:00;Verona;Ospedale Legnago;47;8;2;11
2020-03-25T08:00:00;Verona;Ospedale San Bonifacio;8;1;1;0
2020-03-25T08:00:00;Verona;Ospedale Villafranca °;118;15;3;1
2020-03-25T08:00:00;Verona;Ospedale Marzana;0;0;0;0
2020-03-25T08:00:00;Padova;IRCCS - IOV;1;0;0;0
2020-03-25T08:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;55;6;16;9
2020-03-25T08:00:00;Verona;Ospedale P. Pederzoli-Peschiera;22;9;4;1
