data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-03-27T08:00:00;Padova;Azienda Ospedale Università di Padova;121;30;93;13
2020-03-27T08:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;0
2020-03-27T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;88;22;76;41
2020-03-27T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;39;35;13;12
2020-03-27T08:00:00;Belluno;Ospedale Belluno;48;9;11;6
2020-03-27T08:00:00;Belluno;Ospedale di Comunità Belluno;0;0;0;0
2020-03-27T08:00:00;Belluno;Ospedale Feltre;9;1;4;4
2020-03-27T08:00:00;Belluno;Ospedale Agordo;11;0;1;0
2020-03-27T08:00:00;Treviso;Ospedale Treviso;126;26;105;55
2020-03-27T08:00:00;Treviso;Ospedale Oderzo;18;0;2;5
2020-03-27T08:00:00;Treviso;Ospedale Conegliano;24;11;13;10
2020-03-27T08:00:00;Treviso;Ospedale Vittorio Veneto °;102;6;13;6
2020-03-27T08:00:00;Treviso;Ospedale Castelfranco;30;0;3;6
2020-03-27T08:00:00;Treviso;Ospedale Montebelluna;34;7;3;5
2020-03-27T08:00:00;Treviso;Ospedale S. Camillo-Treviso °;28;0;0;0
2020-03-27T08:00:00;Venezia;Ospedale Mestre;46;15;19;17
2020-03-27T08:00:00;Venezia;Ospedale Venezia;13;7;10;5
2020-03-27T08:00:00;Venezia;Ospedale Mirano;4;12;8;4
2020-03-27T08:00:00;Venezia;Ospedale Dolo °;80;16;11;8
2020-03-27T08:00:00;Venezia;Ospedale Chioggia;1;1;0;2
2020-03-27T08:00:00;Venezia;Ospedale Villa Salus-Mestre °;22;0;3;0
2020-03-27T08:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0
2020-03-27T08:00:00;Venezia;Ospedale Jesolo °;61;13;4;9
2020-03-27T08:00:00;Rovigo;Ospedale Rovigo;24;0;9;2
2020-03-27T08:00:00;Rovigo;Ospedale Trecenta °;0;7;0;0
2020-03-27T08:00:00;Rovigo;Ospedale Adria;0;0;0;0
2020-03-27T08:00:00;Padova;Ospedale Schiavonia °;122;23;48;23
2020-03-27T08:00:00;Padova;Ospedale Piove di Sacco;0;0;1;0
2020-03-27T08:00:00;Padova;Ospedale Cittadella;0;6;9;2
2020-03-27T08:00:00;Padova;Ospedale Camposampiero;2;0;0;1
2020-03-27T08:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0
2020-03-27T08:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0
2020-03-27T08:00:00;Vicenza;Ospedale Santorso °;52;12;10;5
2020-03-27T08:00:00;Vicenza;Ospedale Bassano;32;6;0;8
2020-03-27T08:00:00;Vicenza;Ospedale Asiago;20;0;0;8
2020-03-27T08:00:00;Vicenza;Ospedale Vicenza;65;27;26;24
2020-03-27T08:00:00;Vicenza;Ospedale Noventa Vicentina;20;0;4;0
2020-03-27T08:00:00;Vicenza;Ospedale Arzignano;0;0;0;0
2020-03-27T08:00:00;Vicenza;Ospedale Valdagno;10;0;0;1
2020-03-27T08:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-03-27T08:00:00;Verona;Ospedale Legnago;52;8;2;14
2020-03-27T08:00:00;Verona;Ospedale San Bonifacio;12;1;1;1
2020-03-27T08:00:00;Verona;Ospedale Villafranca °;129;19;3;3
2020-03-27T08:00:00;Verona;Ospedale Marzana;1;0;0;0
2020-03-27T08:00:00;Padova;IRCCS - IOV;0;0;0;0
2020-03-27T08:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;66;9;22;11
2020-03-27T08:00:00;Verona;Ospedale P. Pederzoli-Peschiera;24;9;9;2
