data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-03-24T08:00:00;Padova;Azienda Ospedale Università di Padova;95;34;74;11
2020-03-24T08:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;0
2020-03-24T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;84;18;51;29
2020-03-24T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;47;36;4;3
2020-03-24T08:00:00;Belluno;Ospedale Belluno;44;7;7;4
2020-03-24T08:00:00;Belluno;Ospedale di Comunità Belluno;0;0;0;0
2020-03-24T08:00:00;Belluno;Ospedale Feltre;10;0;2;3
2020-03-24T08:00:00;Belluno;Ospedale Agordo;6;0;1;0
2020-03-24T08:00:00;Treviso;Ospedale Treviso;134;22;86;47
2020-03-24T08:00:00;Treviso;Ospedale Oderzo;15;0;1;3
2020-03-24T08:00:00;Treviso;Ospedale Conegliano;43;11;11;8
2020-03-24T08:00:00;Treviso;Ospedale Vittorio Veneto °;63;0;7;2
2020-03-24T08:00:00;Treviso;Ospedale Castelfranco;27;0;0;6
2020-03-24T08:00:00;Treviso;Ospedale Montebelluna;27;7;0;4
2020-03-24T08:00:00;Treviso;Ospedale S. Camillo-Treviso °;1;0;0;0
2020-03-24T08:00:00;Venezia;Ospedale Mestre;57;15;14;13
2020-03-24T08:00:00;Venezia;Ospedale Venezia;15;7;8;5
2020-03-24T08:00:00;Venezia;Ospedale Mirano;1;14;8;3
2020-03-24T08:00:00;Venezia;Ospedale Dolo °;70;12;7;4
2020-03-24T08:00:00;Venezia;Ospedale Chioggia;0;1;0;2
2020-03-24T08:00:00;Venezia;Ospedale Villa Salus-Mestre °;18;0;0;0
2020-03-24T08:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0
2020-03-24T08:00:00;Venezia;Ospedale Jesolo °;42;14;2;7
2020-03-24T08:00:00;Rovigo;Ospedale Rovigo;19;1;7;2
2020-03-24T08:00:00;Rovigo;Ospedale Trecenta °;0;5;0;0
2020-03-24T08:00:00;Rovigo;Ospedale Adria;0;0;0;0
2020-03-24T08:00:00;Padova;Ospedale Schiavonia °;110;24;30;15
2020-03-24T08:00:00;Padova;Ospedale Piove di Sacco;0;0;0;1
2020-03-24T08:00:00;Padova;Ospedale Cittadella;2;1;8;2
2020-03-24T08:00:00;Padova;Ospedale Camposampiero;1;0;0;0
2020-03-24T08:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0
2020-03-24T08:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0
2020-03-24T08:00:00;Vicenza;Ospedale Santorso °;35;9;5;1
2020-03-24T08:00:00;Vicenza;Ospedale Bassano;32;6;0;6
2020-03-24T08:00:00;Vicenza;Ospedale Asiago;22;0;0;5
2020-03-24T08:00:00;Vicenza;Ospedale Vicenza;60;25;21;13
2020-03-24T08:00:00;Vicenza;Ospedale Noventa Vicentina;17;0;1;0
2020-03-24T08:00:00;Vicenza;Ospedale Arzignano;0;0;0;0
2020-03-24T08:00:00;Vicenza;Ospedale Valdagno;4;0;0;0
2020-03-24T08:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-03-24T08:00:00;Verona;Ospedale Legnago;40;8;2;7
2020-03-24T08:00:00;Verona;Ospedale San Bonifacio;3;0;1;0
2020-03-24T08:00:00;Verona;Ospedale Villafranca °;108;13;3;1
2020-03-24T08:00:00;Verona;Ospedale Marzana;0;0;0;0
2020-03-24T08:00:00;Padova;IRCCS - IOV;0;0;0;0
2020-03-24T08:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;48;7;16;8
2020-03-24T08:00:00;Verona;Ospedale P. Pederzoli-Peschiera;18;7;4;1
