data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-03-16T08:00:00;Padova;Azienda Ospedale Università di Padova;51;22;38;6
2020-03-16T08:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;0
2020-03-16T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;45;12;9;5
2020-03-16T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;0;12;0;0
2020-03-16T08:00:00;Belluno;Ospedale Belluno;14;4;3;2
2020-03-16T08:00:00;Belluno;Ospedale di Comunità Belluno;0;0;0;0
2020-03-16T08:00:00;Belluno;Ospedale Feltre;9;0;0;0
2020-03-16T08:00:00;Belluno;Ospedale Agordo;0;0;0;0
2020-03-16T08:00:00;Treviso;Ospedale Treviso;64;15;48;29
2020-03-16T08:00:00;Treviso;Ospedale Oderzo;1;0;0;0
2020-03-16T08:00:00;Treviso;Ospedale Conegliano;5;11;0;1
2020-03-16T08:00:00;Treviso;Ospedale Vittorio Veneto °;2;0;0;1
2020-03-16T08:00:00;Treviso;Ospedale Castelfranco;7;0;0;1
2020-03-16T08:00:00;Treviso;Ospedale Montebelluna;0;1;0;2
2020-03-16T08:00:00;Treviso;Ospedale S. Camillo-Treviso °;0;0;0;0
2020-03-16T08:00:00;Venezia;Ospedale Mestre;34;12;3;7
2020-03-16T08:00:00;Venezia;Ospedale Venezia;10;4;4;1
2020-03-16T08:00:00;Venezia;Ospedale Mirano;10;14;1;0
2020-03-16T08:00:00;Venezia;Ospedale Dolo °;21;0;0;1
2020-03-16T08:00:00;Venezia;Ospedale Chioggia;1;0;0;1
2020-03-16T08:00:00;Venezia;Ospedale Villa Salus-Mestre °;0;0;0;0
2020-03-16T08:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0
2020-03-16T08:00:00;Venezia;Ospedale Jesolo °;7;8;0;0
2020-03-16T08:00:00;Rovigo;Ospedale Rovigo;5;0;5;0
2020-03-16T08:00:00;Rovigo;Ospedale Trecenta °;0;2;0;0
2020-03-16T08:00:00;Rovigo;Ospedale Adria;1;0;0;0
2020-03-16T08:00:00;Padova;Ospedale Schiavonia °;48;9;1;3
2020-03-16T08:00:00;Padova;Ospedale Piove di Sacco;16;1;0;1
2020-03-16T08:00:00;Padova;Ospedale Cittadella;13;0;0;2
2020-03-16T08:00:00;Padova;Ospedale Camposampiero;0;0;0;0
2020-03-16T08:00:00;Padova;Casa di Cura Villa Maria - Padova;0;0;0;0
2020-03-16T08:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0
2020-03-16T08:00:00;Vicenza;Ospedale Santorso °;11;0;4;0
2020-03-16T08:00:00;Vicenza;Ospedale Bassano;12;1;0;1
2020-03-16T08:00:00;Vicenza;Ospedale Asiago;14;0;0;1
2020-03-16T08:00:00;Vicenza;Ospedale Vicenza;19;17;12;1
2020-03-16T08:00:00;Vicenza;Ospedale Noventa Vicentina;0;0;0;0
2020-03-16T08:00:00;Vicenza;Ospedale Arzignano;0;0;0;0
2020-03-16T08:00:00;Vicenza;Ospedale Valdagno;1;0;0;0
2020-03-16T08:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-03-16T08:00:00;Verona;Ospedale Legnago;10;4;0;1
2020-03-16T08:00:00;Verona;Ospedale San Bonifacio;2;0;0;0
2020-03-16T08:00:00;Verona;Ospedale Villafranca °;5;0;0;0
2020-03-16T08:00:00;Verona;Ospedale Marzana;0;0;0;0
2020-03-16T08:00:00;Padova;IRCCS - IOV;0;0;0;0
2020-03-16T08:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;49;6;2;2
2020-03-16T08:00:00;Verona;Ospedale P. Pederzoli-Peschiera;11;1;0;0
