data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-03-29T17:00:00;Padova;Azienda Ospedale Università di Padova;116;32;118;19
2020-03-29T17:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;0
2020-03-29T17:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;86;24;90;49
2020-03-29T17:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;40;34;12;15
2020-03-29T17:00:00;Belluno;Ospedale Belluno;43;9;26;8
2020-03-29T17:00:00;Belluno;Ospedale di Comunità Belluno;6;0;0;1
2020-03-29T17:00:00;Belluno;Ospedale Feltre;12;0;5;4
2020-03-29T17:00:00;Belluno;Ospedale Agordo;12;0;1;0
2020-03-29T17:00:00;Treviso;Ospedale Treviso;111;25;129;59
2020-03-29T17:00:00;Treviso;Ospedale Oderzo;19;5;5;5
2020-03-29T17:00:00;Treviso;Ospedale Conegliano;18;9;13;10
2020-03-29T17:00:00;Treviso;Ospedale Vittorio Veneto °;102;6;28;8
2020-03-29T17:00:00;Treviso;Ospedale Castelfranco;23;0;9;6
2020-03-29T17:00:00;Treviso;Ospedale Montebelluna;29;7;12;6
2020-03-29T17:00:00;Treviso;Ospedale S. Camillo-Treviso °;40;0;0;0
2020-03-29T17:00:00;Venezia;Ospedale Mestre;49;16;22;19
2020-03-29T17:00:00;Venezia;Ospedale Venezia;12;7;11;5
2020-03-29T17:00:00;Venezia;Ospedale Mirano;1;11;8;5
2020-03-29T17:00:00;Venezia;Ospedale Dolo °;87;15;17;13
2020-03-29T17:00:00;Venezia;Ospedale Chioggia;0;0;0;2
2020-03-29T17:00:00;Venezia;Ospedale Villa Salus-Mestre °;27;0;10;2
2020-03-29T17:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0
2020-03-29T17:00:00;Venezia;Ospedale Jesolo °;55;14;14;11
2020-03-29T17:00:00;Rovigo;Ospedale Rovigo;24;0;11;2
2020-03-29T17:00:00;Rovigo;Ospedale Trecenta °;5;9;0;0
2020-03-29T17:00:00;Rovigo;Ospedale Adria;0;0;0;0
2020-03-29T17:00:00;Padova;Ospedale Schiavonia °;122;26;67;32
2020-03-29T17:00:00;Padova;Ospedale Piove di Sacco;0;0;1;0
2020-03-29T17:00:00;Padova;Ospedale Cittadella;0;6;5;2
2020-03-29T17:00:00;Padova;Ospedale Camposampiero;9;0;5;3
2020-03-29T17:00:00;Padova;Casa di Cura Villa Maria - Padova;3;0;0;0
2020-03-29T17:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;1;0;0;0
2020-03-29T17:00:00;Vicenza;Ospedale Santorso °;68;15;19;12
2020-03-29T17:00:00;Vicenza;Ospedale Bassano;27;8;7;8
2020-03-29T17:00:00;Vicenza;Ospedale Asiago;22;0;0;9
2020-03-29T17:00:00;Vicenza;Ospedale Vicenza;71;27;35;29
2020-03-29T17:00:00;Vicenza;Ospedale Noventa Vicentina;21;0;5;0
2020-03-29T17:00:00;Vicenza;Ospedale Arzignano;0;0;0;0
2020-03-29T17:00:00;Vicenza;Ospedale Valdagno;13;0;0;1
2020-03-29T17:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-03-29T17:00:00;Verona;Ospedale Legnago;65;8;2;20
2020-03-29T17:00:00;Verona;Ospedale San Bonifacio;20;6;2;3
2020-03-29T17:00:00;Verona;Ospedale Villafranca °;118;20;16;12
2020-03-29T17:00:00;Verona;Ospedale Marzana;19;0;1;0
2020-03-29T17:00:00;Padova;IRCCS - IOV;0;0;0;0
2020-03-29T17:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;77;10;23;15
2020-03-29T17:00:00;Verona;Ospedale P. Pederzoli-Peschiera;44;11;11;7
