data;denominazione_provincia;struttura_di_ricovero;ricoverati_con_sintomi;terapia_intensiva;dimessi_guariti;deceduti
2020-03-28T08:00:00;Padova;Azienda Ospedale Università di Padova;116;30;104;16
2020-03-28T08:00:00;Padova;Azienda Ospedale Università di Padova - Ospedale S. Antonio;0;0;0;0
2020-03-28T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma;85;23;87;44
2020-03-28T08:00:00;Verona;Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento;36;35;17;14
2020-03-28T08:00:00;Belluno;Ospedale Belluno;53;8;11;8
2020-03-28T08:00:00;Belluno;Ospedale di Comunità Belluno;0;0;0;0
2020-03-28T08:00:00;Belluno;Ospedale Feltre;12;0;5;4
2020-03-28T08:00:00;Belluno;Ospedale Agordo;12;0;1;0
2020-03-28T08:00:00;Treviso;Ospedale Treviso;116;23;121;53
2020-03-28T08:00:00;Treviso;Ospedale Oderzo;17;2;2;5
2020-03-28T08:00:00;Treviso;Ospedale Conegliano;20;9;13;10
2020-03-28T08:00:00;Treviso;Ospedale Vittorio Veneto °;104;6;22;7
2020-03-28T08:00:00;Treviso;Ospedale Castelfranco;24;0;8;6
2020-03-28T08:00:00;Treviso;Ospedale Montebelluna;31;7;6;6
2020-03-28T08:00:00;Treviso;Ospedale S. Camillo-Treviso °;38;0;0;0
2020-03-28T08:00:00;Venezia;Ospedale Mestre;45;17;20;18
2020-03-28T08:00:00;Venezia;Ospedale Venezia;13;6;11;5
2020-03-28T08:00:00;Venezia;Ospedale Mirano;0;12;8;4
2020-03-28T08:00:00;Venezia;Ospedale Dolo °;82;15;15;12
2020-03-28T08:00:00;Venezia;Ospedale Chioggia;1;0;0;2
2020-03-28T08:00:00;Venezia;Ospedale Villa Salus-Mestre °;17;0;9;2
2020-03-28T08:00:00;Venezia;Ospedale San Dona' di Piave;0;0;0;0
2020-03-28T08:00:00;Venezia;Ospedale Jesolo °;55;14;14;11
2020-03-28T08:00:00;Rovigo;Ospedale Rovigo;24;0;11;2
2020-03-28T08:00:00;Rovigo;Ospedale Trecenta °;5;9;0;0
2020-03-28T08:00:00;Rovigo;Ospedale Adria;0;0;0;0
2020-03-28T08:00:00;Padova;Ospedale Schiavonia °;113;23;66;27
2020-03-28T08:00:00;Padova;Ospedale Piove di Sacco;0;0;1;0
2020-03-28T08:00:00;Padova;Ospedale Cittadella;0;10;9;2
2020-03-28T08:00:00;Padova;Ospedale Camposampiero;8;0;0;1
2020-03-28T08:00:00;Padova;Casa di Cura Villa Maria - Padova;3;0;0;0
2020-03-28T08:00:00;Padova;Casa di Cura Villa Maria ODC - Padova;0;0;0;0
2020-03-28T08:00:00;Vicenza;Ospedale Santorso °;55;13;14;8
2020-03-28T08:00:00;Vicenza;Ospedale Bassano;31;7;0;8
2020-03-28T08:00:00;Vicenza;Ospedale Asiago;21;0;0;8
2020-03-28T08:00:00;Vicenza;Ospedale Vicenza;71;27;28;26
2020-03-28T08:00:00;Vicenza;Ospedale Noventa Vicentina;22;0;4;0
2020-03-28T08:00:00;Vicenza;Ospedale Arzignano;0;0;0;0
2020-03-28T08:00:00;Vicenza;Ospedale Valdagno;11;0;0;1
2020-03-28T08:00:00;Vicenza;Ospedale Lonigo;0;0;0;0
2020-03-28T08:00:00;Verona;Ospedale Legnago;59;8;2;17
2020-03-28T08:00:00;Verona;Ospedale San Bonifacio;18;1;2;2
2020-03-28T08:00:00;Verona;Ospedale Villafranca °;123;20;13;8
2020-03-28T08:00:00;Verona;Ospedale Marzana;3;0;0;0
2020-03-28T08:00:00;Padova;IRCCS - IOV;0;0;0;0
2020-03-28T08:00:00;Verona;Ospedale Sacro Cuore Don Calabria-Negrar;70;10;22;15
2020-03-28T08:00:00;Verona;Ospedale P. Pederzoli-Peschiera;45;9;9;7
